no,address,latitude,longitude
가나이비인후과의원,"서울특별시 서초구 서초중앙로 230, 4층 (반포동, 반포동화프라자)",37.5021563648911,127.012024373585
강산한의원,"서울특별시 강서구 강서로45길 13, 3층 (화곡동)",37.5478505458038,126.835388575202
강우곤치과의원,서울특별시 종로구 삼일대로 443,37.5739568012625,126.987055084503
365본맥한의원,"서울특별시 성북구 보국문로 51, 2층 (정릉동, 안진빌딩)",37.6091103235132,127.009548383853
365삼성의원,"서울특별시 강남구 도곡로 331, 7층 (역삼동)",37.4964928018315,127.052199273657
강일코모키이비인후과의원,"서울특별시 강동구 아리수로93길 27, 304호 (강일동)",37.5656225735773,127.17381574584
365서울원탑치과의원,"서울특별시 강서구 강서로 179, 3,4층 302, 401, 402호 (화곡동)",,
공덕연세이비인후과의원,"서울특별시 마포구 마포대로 92, 효성해링턴 스퀘어 B동 5층 4호 (도화동)",37.542695620343,126.951422502066
고려엔케이연합의원,"서울특별시 강서구 화곡로 398, 4층 (등촌동, 홈플러스 강서점)",37.5584699599397,126.854819012937
광개토한의원,"서울특별시 강동구 고덕로 131 (암사동, 강동롯데캐슬퍼스트아파트)",37.5551667468122,127.143838799591
고움의원,"서울특별시 노원구 노해로 501, 201호,203호 (상계동, 노원빌딩)",37.6552190449765,127.063512438351
공안과병원,서울특별시 강동구 풍성로37길 45 (성내동),37.5339148820044,127.126027072458
경희예가한의원,"서울특별시 강남구 테헤란로51길 23, 3층 304호 (역삼동)",37.5051902735793,127.045747691089
365소리안한의원,"서울특별시 강남구 학동로 339, 세한빌딩 2층 (논현동)",37.5171405161205,127.040183821914
365송파한의원,"서울특별시 송파구 중대로 304, 3층 (오금동)",37.5073970930133,127.13319570273
고척으뜸내과의원,"서울특별시 구로구 경인로43길 49, B동 201호 (고척동, 고척아이파크)",37.4991318775075,126.857590075507
게이트성형외과의원,"서울특별시 강남구 강남대로 476, urbanhive 10층 (논현동)",37.5049095607089,127.024789737061
365쌩쌩한의원,"서울특별시 송파구 가락로 210, 102호 (송파동)",37.507019941349,127.116477135427
경희제일한의원,"서울특별시 강동구 성안로25길 6, 상가 204호 (천호동, 삼성아파트)",37.5383026250169,127.134790705052
경희이끌림한의원,"서울특별시 송파구 송파대로 408, 하림빌딩 2층 (송파동)",37.5037372576723,127.108979139136
강원한의원,"서울특별시 강남구 언주로152길 14, 로데오빌딩 5층 (신사동)",37.5226263457201,127.034849358762
건강한가정의학과의원,서울특별시 강서구 강서로16길 32 (화곡동),37.5330780742698,126.848125023369
강피부과의원,"서울특별시 관악구 은천로 109, 2층 201호 (봉천동, 한독빌딩)",37.4869976641145,126.947478752265
365엠씨의원,"서울특별시 성북구 아리랑로 3, 5층 (동소문동6가, 기업은행)",37.5930241251186,127.016174486678
호치과의원,"서울특별시 중랑구 겸재로 180, 3층 (면목동)",37.5882008093275,127.087951338267
365어울림한의원,"서울특별시 강서구 초록마을로 15, 102~104호 (화곡동, 은가람팰리스)",,
365코이의원,"서울특별시 강남구 강남대로118길 12, 부경빌딩 3층, 5층 (논현동)",37.5063118920787,127.024757288909
갸름한성형외과의원,"서울특별시 강남구 강남대로 390, 21층 (역삼동)",37.4978399531903,127.028578846319
365탑치과의원,"서울특별시 관악구 남부순환로 2082-25, 3층 (남현동)",37.4760566794321,126.981012772295
호현치과의원,"서울특별시 중구 다산로 222, 2층 (신당동)",37.5628525208577,127.015591399432
곽내과의원,"서울특별시 종로구 자하문로 58, 3층 (창성동)",37.5812527890293,126.971269860764
