line,station_name,district
6호선,약수,중구
6호선,청구,중구
6호선,신당,중구
6호선,동묘앞,종로구
6호선,창신,종로구
6호선,보문,성북구
6호선,안암(고대병원앞),성북구
6호선,고려대(종암),성북구
6호선,월곡(동덕여대),성북구
6호선,상월곡(한국과학기술연구원),성북구
6호선,돌곶이,성북구
6호선,석계,노원구
6호선,태릉입구,노원구
6호선,화랑대(서울여대입구),노원구
6호선,봉화산(서울의료원),중랑구
6호선,신내,중랑구
7호선,장암,
7호선,도봉산,도봉구
7호선,수락산,노원구
7호선,마들,노원구
7호선,노원,노원구
7호선,중계,노원구
7호선,하계,노원구
7호선,공릉(서울과학기술대),노원구
7호선,태릉입구,노원구
7호선,먹골,중랑구
7호선,중화,중랑구
7호선,상봉,중랑구
7호선,면목,중랑구
7호선,사가정,중랑구
7호선,용마산(용마폭포공원),중랑구
7호선,중곡,광진구
7호선,군자(능동),광진구
7호선,어린이대공원(세종대),광진구
7호선,건대입구,광진구
7호선,자양(뚝섬유원지),광진구
7호선,청담,강남구
7호선,강남구청,강남구
7호선,학동,강남구
7호선,논현,강남구
7호선,반포,서초구
7호선,고속터미널,서초구
7호선,내방,서초구
7호선,이수,동작구
7호선,남성,동작구
7호선,숭실대입구(살피재),동작구
7호선,상도,동작구
7호선,장승배기,동작구
7호선,신대방삼거리,동작구
7호선,보라매,동작구
7호선,신풍,영등포구
7호선,대림(구로구청),영등포구
7호선,남구로,구로구
7호선,가산디지털단지,금천구
7호선,철산,
7호선,광명사거리,
7호선,천왕,구로구
7호선,온수(성공회대입구),구로구
8호선,암사,강동구
8호선,암사역사공원역,강동구
8호선,천호(풍납토성),강동구
8호선,강동구청,강동구
8호선,몽촌토성(평화의문),송파구
8호선,잠실(송파구청),송파구
8호선,석촌,송파구
8호선,송파,송파구
8호선,가락시장,송파구
8호선,문정,송파구
8호선,장지,송파구
8호선,복정,송파구
8호선,남위례,
8호선,산성,
8호선,남한산성입구(성남법원?검찰청),
8호선,단대오거리,
8호선,신흥,
8호선,수진,
8호선,모란,
9호선,언주,강남구
9호선,선정릉,강남구
9호선,삼성중앙,강남구
9호선,봉은사,강남구
9호선,종합운동장,송파구
9호선,삼전,송파구
9호선,석촌고분,송파구
9호선,석촌,송파구
9호선,송파나루,송파구
9호선,한성백제,송파구
9호선,올림픽공원(한국체대),송파구
9호선,둔촌오륜,강동구
9호선,중앙보훈병원,강동구
