line,name
경부선,서동탄
경부선,명학
경부선,오산대
경부선,병점
경부선,광명
경부선,남영
경부선,서울역
경부선,노량진
경부선,구로
경부선,관악
경부선,직산
경부선,의왕
경부선,신도림
경부선,석수
경부선,영등포
경부선,세류
경부선,안양
경부선,세마
경부선,수원
경부선,대방
경부선,금천구청
경부선,지제
경부선,진위
경부선,송탄
경부선,평택
경부선,당정
경부선,성환
경부선,두정
경원선,덕정
경원선,지행
경원선,월계
경원선,청량리(서울시립대입구)
경원선,신이문
경원선,서빙고
경원선,양주
경원선,의정부
경원선,덕계
경원선,외대앞
경원선,한남
경원선,이촌(국립중앙박물관)
경원선,옥수
경원선,녹양
경원선,소요산
경원선,도봉
경원선,동두천중앙
경원선,가능
경원선,응봉
경원선,왕십리(성동구청)
경원선,보산
경원선,동두천
경원선,망월사
경원선,방학
경원선,회룡
경원선,광운대
경원선,창동
경원선,도봉산
경원선,석계
경원선,녹천
경의선,행신
경의선,풍산
경의선,탄현
경의선,백마
경의선,화전
경의선,파주
경의선,서강대
경의선,금촌
경의선,홍대입구
경의선,검암
경의선,계양
경의선,디지털미디어시티
경의선,공덕
경의선,서울역
경의선,능곡
경의선,신촌
경의선,문산
경의선,운정
경의선,야당
경의선,금릉
경의선,월롱
경의선,강매
경의선,수색
경의선,김포공항
경의선,효창공원앞
경의선,곡산
경의선,일산
경의선,가좌
경인선,간석
경인선,동인천
경인선,제물포
경인선,송내
경인선,인천
경인선,부평
경인선,부천
경인선,오류동
경인선,개봉
경인선,도원
경인선,동암
경인선,구일
경인선,소사
경인선,온수(성공회대입구)
경인선,주안
경인선,중동
경인선,도화
경인선,부개
경인선,역곡
경인선,백운
경춘선,천마산
경춘선,금곡
경춘선,청평
경춘선,백양리
경춘선,굴봉산
경춘선,강촌
경춘선,김유정
경춘선,별내
경춘선,상천
경춘선,남춘천
경춘선,갈매
경춘선,퇴계원
경춘선,가평
경춘선,평내호평
경춘선,대성리
경춘선,춘천
경춘선,신내
경춘선,사릉
경춘선,마석
공항철도 1호선,공항화물청사
공항철도 1호선,서울역
공항철도 1호선,인천공항1터미널
공항철도 1호선,영종
공항철도 1호선,검암
공항철도 1호선,김포공항
공항철도 1호선,홍대입구
공항철도 1호선,디지털미디어시티
공항철도 1호선,운서
공항철도 1호선,계양
공항철도 1호선,청라국제도시
공항철도 1호선,인천공항2터미널
공항철도 1호선,마곡나루
공항철도 1호선,공덕
과천선,대공원
과천선,선바위
과천선,인덕원
과천선,경마공원
과천선,범계
과천선,과천
과천선,평촌
과천선,정부과천청사
분당선,서현
분당선,압구정로데오
분당선,한티
분당선,청명
분당선,모란
분당선,도곡
분당선,서울숲
분당선,복정
분당선,상갈
분당선,수내
분당선,야탑
분당선,이매
분당선,미금
분당선,기흥
분당선,수서
분당선,선정릉
분당선,매교
분당선,구룡
분당선,개포동
분당선,신갈
분당선,구성
분당선,대모산입구
분당선,죽전
분당선,선릉
분당선,매탄권선
분당선,망포
분당선,강남구청
분당선,수원
분당선,영통
분당선,가천대
분당선,보정
분당선,오리
분당선,정자
분당선,수원시청
분당선,태평
수인선,월곶
수인선,연수
수인선,숭의
수인선,원인재
