school_name,address,latitude,longitude
(가칭)서울온라인학교,서울특별시 성동구 왕십리로 199,37.55526422,127.0411418
가락고등학교,서울특별시 송파구 송이로 42,37.50105633,127.1164258
가락중학교,서울특별시 송파구 송이로 45,37.50233971,127.1189713
가산중학교,서울특별시 금천구 시흥대로115길 48,37.46877706,126.8944749
가원중학교,서울특별시 송파구 중대로10길 40-18,37.49096833,127.1229789
가재울고등학교,서울특별시 서대문구 수색로 100-35,37.5743637,126.9095297
가재울중학교,서울특별시 서대문구 수색로 100-75,37.57509835,126.9099742
가톨릭대학교,서울 서초구 반포동 505,37.5000795911196,127.005246798552
가톨릭대학교,서울 종로구 창경궁로 296-12(혜화동) ,37.5849009775207,127.004770664086
감리교신학대학교,서울 서대문구 냉천동 감리교신학대학,37.5667821636121,126.961963463309
강남중학교,서울특별시 동작구 대방동15길 29,37.50276263,126.9233466
강동고등학교,서울특별시 강동구 구천면로 572,37.54991665,127.1606683
강동중학교,서울특별시 강동구 풍산로 237,37.56965025,127.177836
강명중학교,서울특별시 강동구 상일로12길 56,37.55561278,127.1746084
강북중학교,서울특별시 강북구 한천로150길 67,37.6449159,127.0253734
강빛중학교,서울특별시 강동구 아리수로93다길 1,37.57434332,127.1707749
강서공업고등학교,서울특별시 강서구 방화대로47길 9,37.57603409,126.8161817
강신중학교,서울특별시 양천구 남부순환로 604,37.51513716,126.8381601
강일고등학교,서울특별시 강동구 아리수로98길 40,37.5638281,127.1779035
강일중학교,서울특별시 강동구 고덕로27길 12,37.55534535,127.1380086
강현중학교,서울특별시 동작구 상도로13라길 22,37.50311599,126.9307563
개봉중학교,서울특별시 구로구 고척로21나길 68,37.50352932,126.8423998
개운중학교,서울특별시 성북구 북악산로 935,37.59462665,127.0248421
개웅중학교,서울특별시 구로구 개봉로11길 81,37.4875269,126.8510711
개원중학교,서울특별시 강남구 영동대로 101,37.49159053,127.0719003
개포고등학교,서울특별시 강남구 개포로 402,37.4850426,127.0593055
개포중학교,서울특별시 강남구 선릉로 9,37.48044739,127.0624029
거원중학교,서울특별시 송파구 양산로2길 30,37.48769648,127.1465426
건국대학교,서울 광진구 화양동,37.5464762611364,127.071367614735
건국대학교사범대학부속고등학교,서울특별시 광진구 능동로 120,37.53918267,127.0747119
건국대학교사범대학부속중학교,서울특별시 광진구 자양로 145-1,37.54172407,127.0815971
경기고등학교,서울특별시 강남구 영동대로 643,37.51756454,127.0560755
경기기계공업고등학교,서울특별시 노원구 공릉로 264,37.63224005,127.0749285
경기대학교,서울 서대문구 경기대로9길 24 경기대학교,37.5651946923921,126.962224150341
경기상업고등학교,서울특별시 종로구 자하문로 136,37.58925853,126.9700571
경기여자고등학교부설방송통신고등학교,서울특별시 강남구 삼성로 29,37.48695452,127.0661236
경기초등학교,서울특별시 서대문구 경기대로9길 10,37.56511029,126.9628606
경동고등학교부설방송통신고등학교,서울특별시 성북구 보문로29길 49,37.58594181,127.0145793
경문고등학교,서울특별시 동작구 동작대로 171,37.49341886,126.9822734
경복고등학교부설방송통신고등학교,서울특별시 종로구 자하문로28가길 9,37.58594567,126.9715109
경복비즈니스고등학교,서울특별시 강서구 화곡로 379,37.55809726,126.8526703
경복여자고등학교,서울특별시 강서구 화곡로63길 40,37.55782183,126.8505957
경복초등학교,서울특별시 광진구 천호대로130길 58,37.54981386,127.0867934
경서중학교,서울특별시 강서구 양천로59길 31,37.56124186,126.857764
경성중학교,서울특별시 마포구 성미산로 111,37.56351064,126.9191663
경수중학교,서울특별시 성동구 뚝섬로13길 14,37.53950904,127.0592712
경신중학교,서울특별시 종로구 혜화로 74,37.59220227,126.999531
경원중학교,서울특별시 서초구 신반포로33길 39,37.5115816,127.0090183
경인고등학교,서울특별시 구로구 경인로46길 31,37.49599268,126.8654289
경인중학교,서울특별시 구로구 경인로 301,37.49846566,126.8536725
경일중학교,서울특별시 성동구 성수일로 27,37.54380838,127.0478538
경희대학교,서울 동대문구 회기동 경희대학교,37.5907885967282,127.05537245757
경희중학교,서울특별시 동대문구 경희대로 26,37.59394914,127.054891
계성고등학교,서울특별시 성북구 길음로 63,37.6074936,127.0201836
계성초등학교,서울특별시 서초구 신반포로19길 23,37.50493572,126.9966544
고덕중학교,서울특별시 강동구 동남로82길 94,37.56035843,127.1617619
고려대학교,서울 성북구 안암동 고려대학교,37.5858189680129,127.021344106907
고려대학교사범대학부속중학교,서울특별시 성북구 정릉로 161,37.60804769,127.0026161
고명중학교,서울특별시 성북구 북악산로 870,37.59767414,127.0191875
고척고등학교,서울특별시 구로구 중앙로15길 162,37.50804938,126.8498691
고척중학교,서울특별시 구로구 중앙로3길 20,37.49974083,126.8613425
공릉중학교,서울특별시 노원구 노원로1길 42,37.62213595,127.0835013
공항고등학교,서울특별시 강서구 방화대로34길 43,37.57046109,126.8185198
공항중학교,서울특별시 강서구 방화대로 241,37.56217456,126.814809
관악고등학교,서울특별시 영등포구 영등포로6길 26,37.52179166,126.8829235
관악중학교,서울특별시 관악구 남부순환로237길 60,37.48125828,126.9619123
광남고등학교,서울특별시 광진구 아차산로70길 17-16,37.54151472,127.1012139
광남중학교,서울특별시 광진구 아차산로70길 17-62,37.54083041,127.1016439
광문고등학교,서울특별시 강동구 동남로 968,37.56046163,127.1585465
광성고등학교,서울특별시 마포구 신수로8길 20,37.54869756,126.9359696
광성중학교,서울 마포구 신수로8길 20,37.54869756,126.9359696
광성하늘빛학교,서울특별시 송파구 올림픽로 625,37.53738132,127.1222355
광신중학교,서울특별시 관악구 광신길 141,37.4644762,126.9259406
