"동별(1)",동별(2),동별(3),2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"동별(1)",동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"합계",종로구,혜화동,19582,1.12,17484,19631,1.12,17528,20066,1.12,17916,20405,1.12,18219,20429,1.12,18240,20366,1.12,18184,20435,1.12,18246,19734,1.12,17620,18960,1.12,16928.57143,19392,1.12,17314,19239,1.12,17178
"합계",중구,소계,137990,9.96,13854,136227,9.96,13677,134329,9.96,13486,134409,9.96,13494,134593,9.96,13514,135633,9.96,13618,136488,9.96,13704,134635,9.96,13517,131787,9.960262,13231.27845,130785,9.9602865,13131,131793,9.9599474,13232
"합계",중구,소공동,1766,0.95,1859,1895,0.95,1995,1869,0.95,1967,2596,0.95,2733,2787,0.95,2934,2936,0.95,3091,3059,0.95,3220,3011,0.95,3169,3367,0.95,3544.210526,3578,0.95,3766,3401,0.95,3580
"합계",중구,회현동,6563,0.84,7813,6505,0.84,7744,6263,0.84,7456,6128,0.84,7295,5953,0.84,7087,5952,0.84,7086,5850,0.84,6964,5757,0.84,6854,5432,0.84,6466.666667,5222,0.84,6217,5053,0.84,6015
"합계",중구,명동,4013,0.99,4054,3614,0.99,3651,3521,0.99,3557,3524,0.99,3560,3469,0.99,3504,3470,0.99,3505,3567,0.99,3603,3685,0.99,3722,3742,0.99,3779.79798,3638,0.99,3675,3405,0.99,3439
"합계",중구,필동,4878,1.14,4279,5040,1.14,4421,5101,1.14,4475,5120,1.14,4491,4885,1.14,4285,5045,1.14,4425,5020,1.14,4404,4754,1.14,4170,4679,1.14,4104.385965,4816,1.14,4225,4971,1.14,4361
"합계",중구,장충동,6296,1.36,4629,6079,1.36,4470,5903,1.36,4340,5845,1.36,4298,5648,1.36,4153,5653,1.36,4157,5628,1.36,4138,5468,1.36,4021,5301,1.36,3897.794118,5326,1.36,3916,5462,1.36,4016
"합계",중구,광희동,6107,0.74,8253,5961,0.74,8055,5817,0.74,7861,6031,0.74,8150,5875,0.74,7939,6057,0.74,8185,6284,0.74,8492,6416,0.74,8670,6340,0.74,8567.567568,6682,0.74,9030,7198,0.74,9727
"합계",중구,을지로동,2022,0.6,3370,1920,0.6,3200,1854,0.6,3090,1826,0.6,3043,1786,0.6,2977,1901,0.6,3168,2007,0.6,3345,1967,0.6,3278,1914,0.6,3190,1912,0.6,3187,3323,0.6,5538
"합계",중구,신당5동,10686,0.39,27400,10788,0.55,19615,10449,0.39,26792,10164,0.39,26062,9830,0.39,25205,9691,0.39,24849,10929,0.39,28023,10867,0.39,27864,10708,0.39,27456.41026,10513,0.39,26956,10516,0.39,26964
"합계",중구,황학동,13068,0.33,39600,13186,0.33,39958,13287,0.33,40264,13217,0.33,40052,13095,0.33,39682,13380,0.33,40545,13689,0.33,41482,13531,0.33,41003,13444,0.33,40739.39394,13459,0.33,40785,13612,0.33,41248
"합계",중구,중림동,9944,0.48,20717,9562,0.48,19921,8979,0.48,18706,8902,0.48,18546,11575,0.48,24115,12980,0.48,27042,12942,0.48,26963,12801,0.48,26669,12351,0.48,25731.25,12338,0.48,25704,12494,0.48,26029
"합계",중구,신당동,8951,0.55,16275,8758,0.39,22456,9042,0.55,16440,9429,0.55,17144,9544,0.55,17353,9419,0.55,17125,9234,0.55,16789,9191,0.55,16711,9095,0.55,16536.36364,9087,0.55,16522,8885,0.55,16155
"합계",중구,다산동,16545,0.51,32441,16268,0.51,31898,16004,0.51,31380,15956,0.51,31286,15399,0.51,30194,15113,0.51,29633,15035,0.51,29480,14725,0.51,28873,14274,0.51,27988.23529,13954,0.51,27361,13786,0.51,27031
"합계",중구,약수동,19267,0.48,40140,19160,0.48,39917,19002,0.48,39588,18796,0.48,39158,18400,0.48,38333,17973,0.48,37444,17734,0.48,36946,17354,0.48,36154,16889,0.48,35185.41667,16610,0.48,34604,16342,0.48,34046
