"시점",출생아수 (명),사망자수 (명),혼인건수 (건),이혼건수 (건)
"2014. 11",6244,3531,4995,1498
"2014. 12",6259,3765,7531,1653
"2015. 01",8033,3796,5901,1526
"2015. 02",6674,3697,4488,1246
"2015. 03",7603,3996,5665,1425
"2015. 04",7235,3652,5313,1510
"2015. 05",6993,3607,6000,1394
"2015. 06",6823,3370,5564,1631
"2015. 07",6885,3457,5101,1633
"2015. 08",6806,3352,4617,1490
"2015. 09",6820,3525,4080,1466
"2015. 10",6799,3517,4858,1632
"2015. 11",6381,3492,5454,1578
"2015. 12",5953,3592,7152,1645
"2016. 01",7426,3870,4764,1355
"2016. 02",6437,3800,4659,1305
"2016. 03",7176,3900,4991,1485
"2016. 04",6547,3661,4584,1462
"2016. 05",6422,3728,5181,1505
"2016. 06",6233,3286,5003,1549
"2016. 07",6414,3375,4556,1541
"2016. 08",6152,3554,4569,1477
"2016. 09",6292,3326,3683,1457
"2016. 10",5891,3569,4499,1487
"2016. 11",5495,3540,5294,1638
"2016. 12",5051,3931,5860,1516
"2017. 01",6376,3887,4679,1301
"2017. 02",5646,3499,4275,1392
"2017. 03",6133,3678,4700,1574
"2017. 04",5542,3482,4098,1332
"2017. 05",5434,3641,5583,1464
"2017. 06",5361,3380,4588,1465
"2017. 07",5345,3413,3921,1304
"2017. 08",5440,3411,4000,1557
"2017. 09",5490,3408,3684,1527
"2017. 10",5015,3681,3553,1348
"2017. 11",4943,3550,5021,1501
"2017. 12",4664,3902,5674,1318
"2018. 01",5675,4625,4688,1263
"2018. 02",4792,3810,3912,1308
"2018. 03",5278,3767,4588,1390
"2018. 04",4957,3675,4170,1485
"2018. 05",4942,3583,5049,1555
"2018. 06",4603,3425,4143,1393
"2018. 07",4845,3638,4033,1496
"2018. 08",4925,3815,3871,1325
"2018. 09",4687,3426,2988,1255
"2018. 10",4689,3676,4416,1627
"2018. 11",4571,3656,4583,1515
"2018. 12",4110,4123,5564,1328
"2019. 01",5248,3975,4053,1562
"2019. 02",4578,3391,3687,1218
"2019. 03",4811,3712,3870,1355
"2019. 04",4686,3592,3977,1489
"2019. 05",4524,3599,4696,1491
"2019. 06",4301,3442,3683,1312
"2019. 07",4551,3486,3969,1468
"2019. 08",4330,3581,3859,1363
"2019. 09",4291,3561,3212,1352
"2019. 10",4513,3798,4088,1527
"2019. 11",4170,3786,4150,1481
"2019. 12",3670,3906,5017,1354
"2020. 01",4701,4204,3863,1358
"2020. 02",3927,3760,3906,1220
"2020. 03",4126,3864,3974,1069
"2020. 04",4095,3662,3199,1450
"2020. 05",3984,3654,3859,1300
"2020. 06",3886,3490,3665,1254
"2020. 07",3954,3618,3709,1577
"2020. 08",3897,3701,3238,1264
"2020. 09",4108,3709,3272,1458
"2020. 10",3870,4043,3537,1422
"2020. 11",3469,3812,3802,1498
"2020. 12",3428,4005,4722,1412
"2021. 01",4395,4095,3167,1271
"2021. 02",3666,3613,3016,1134
"2021. 03",4206,3938,3331,1380
"2021. 04",3995,3701,2998,1422
"2021. 05",3996,3977,3092,1317
"2021. 06",3795,3643,3034,1235
"2021. 07",3787,3958,3106,1265
"2021. 08",3858,3944,2851,1163
"2021. 09",3753,3921,2698,1228
"2021. 10",3533,4159,2858,1077
"2021. 11",3513,4488,3107,1209
"2021. 12",3034,5361,3754,1266
"2022. 01",4297,4698,2708,1056
"2022. 02",3475,4518,2977,1007
"2022. 03",4027,6556,2774,1084
"2022. 04",3621,5330,2844,1056
"2022. 05",3412,4184,3259,1263
"2022. 06",3176,3628,2630,1087
"2022. 07",3530,3950,2829,1075
"2022. 08",3670,4441,2902,1216
"2022. 09",3651,4277,2825,1127
"2022. 10",3612,4444,2823,962
"2022. 11",3230,4414,3319,1166
"2022. 12",2901,4856,3862,1075
"2023. 01",4079,4734,3392,945
"2023. 02",3317,4007,3418,922
"2023. 03",3631,4163,3489,1142
"2023. 04",3078,3959,2660,987
"2023. 05",3302,4318,3261,1186
"2023. 06",3133,4027,3086,1001
"2023. 07",3280,4054,2770,1049
"2023. 08",3254,4402,2739,1012
"2023. 09",3241,4176,2462,957
"2023. 10",3344,4572,2914,1070
"2023. 11",3044,4484,2931,1156
"2023. 12",2753,4550,3202,970
"2024. 01",3711,4705,3545,1112
"2024. 02",3381,4462,3237,1006
"2024. 03",3487,4614,3179,992
"2024. 04",3372,4315,3401,1074
"2024. 05",3477,4216,4123,1063
"2024. 06",3287,3999,3178,971
"2024. 07",3484,4220,3709,1070
