no,address,latitude,longitude
6,서울특별시 동대문구 정릉천동로 100,,
145,서울특별시 관악구 구암길 95,,
155,서울특별시 강남구 남부순환로 2803,,
158,서울특별시 서초구 나루터로4길 28,,
234,서울특별시 은평구 연서로28길 12-1,,
423,서울특별시 송파구 성내천로6길 1-13,,
433,서울특별시 서초구 나루터로4길 39,,
441,서울특별시 송파구 성내천로6길 1-13,,
473,서울특별시 강동구 진황도로 12,,
503,서울특별시 서초구 신반포로 45,,
504,서울특별시 송파구 성내천로6길 1-13,,
612,서울특별시 금천구 시흥대로 291-1,,
735,서울특별시 노원구 노원로1길 103,,
802,서울특별시 서초구 신반포로 32,,
804,서울특별시 서초구 신반포로 32,,
820,서울특별시 송파구 올림픽로 399,,
859,서울특별시 서초구 신반포로 9,,
919,서울특별시 금천구 시흥대로 291-1,,
974,서울특별시 서초구 신반포로 9,,
1039,서울특별시 동대문구 한천로24길 74-11,,
1173,서울특별시 서초구 효령로34길 79,,
1445,서울특별시 서초구 잠원로 86,,
1491,서울특별시 서초구 신반포로 45,,
1497,서울특별시 서초구 신반포로 9,,
1607,서울특별시 구로구 개봉로3가길 88-41,,
1795,서울특별시 송파구 올림픽로 399,,
1833,서울특별시 서초구 신반포로 45,,
1839,서울특별시 서초구 나루터로4길 28,,
2008,서울특별시 서초구 신반포로 45,,
2028,서울특별시 송파구 올림픽로 399,,
2338,서울특별시 송파구 올림픽로 399,,
2352,서울특별시 서초구 신반포로 32,,
2487,서울특별시 서초구 신반포로 32,,
2560,서울특별시 서초구 신반포로 45,,
2804,서울특별시 금천구 시흥대로 291-1,,
3099,서울특별시 서초구 나루터로4길 28,,
3100,서울특별시 강동구 진황도로 12,,
3192,서울특별시 동작구 사당로23길 4,,
3193,서울특별시 동작구 사당로23길 4,,
3283,서울특별시 송파구 올림픽로 399,,
3287,서울특별시 서초구 나루터로4길 28,,
3288,서울특별시 서초구 나루터로4길 28,,
3542,서울특별시 동작구 사당로23길 4,,
3584,서울특별시 송파구 성내천로6길 1-13,,
3589,서울특별시 송파구 올림픽로 399,,
3599,서울특별시 서초구 신반포로 9,,
3708,서울특별시 금천구 시흥대로 291-1,,
3727,서울특별시 동작구 사당로23길 4,,
3828,서울특별시 서초구 신반포로33길 30,,
3848,서울특별시 서초구 신반포로33길 30,,
3860,서울특별시 강남구 남부순환로 2803,,
3865,서울특별시 송파구 올림픽로 399,,
3908,서울특별시 서초구 나루터로4길 39,,
3910,서울특별시 서초구 잠원로4길 34-11,,
4163,서울특별시 서초구 나루터로4길 28,,
4218,서울특별시 금천구 시흥대로 291-1,,
4278,서울특별시 동작구 사당로23길 4,,
4339,서울특별시 서초구 나루터로4길 39,,
4366,서울특별시 서초구 신반포로 32,,
4367,서울특별시 서초구 신반포로 32,,
4545,서울특별시 강서구 곰달래로18길 33-1,,
4617,서울특별시 은평구 연서로28길 12-1,,
5048,서울특별시 서초구 나루터로4길 28,,
5052,서울특별시 서초구 나루터로4길 39,,
5053,서울특별시 송파구 올림픽로 399,,
5067,서울특별시 서초구 나루터로4길 39,,
5316,서울특별시 강동구 진황도로 18,,
5323,서울특별시 서초구 나루터로4길 28,,
5324,서울특별시 서초구 신반포로33길 30,,
5349,서울특별시 서초구 신반포로 32,,
5551,서울특별시 금천구 시흥대로 291-1,,
5699,서울특별시 은평구 서오릉로 107-1,,
5716,서울특별시 서초구 나루터로4길 28,,
5740,서울특별시 송파구 올림픽로 399,,
5897,서울특별시 서초구 신반포로 32,,
5944,서울특별시 서초구 나루터로4길 39,,
5945,서울특별시 서초구 나루터로4길 39,,
6659,서울특별시 서초구 나루터로4길 39,,
6728,서울특별시 서초구 신반포로 32,,
6789,서울특별시 송파구 올림픽로 399,,
7229,서울특별시 금천구 시흥대로 291-1,,
7274,서울특별시 서초구 신반포로 32,,
7276,서울특별시 서초구 신반포로 32,,
7316,서울특별시 송파구 올림픽로33길 17,,
7320,서울특별시 서초구 나루터로4길 39,,
7488,서울특별시 종로구 세검정로 384-13,,
7696,서울특별시 서초구 나루터로4길 39,,
7698,서울특별시 서초구 나루터로4길 39,,
7959,서울특별시 강남구 남부순환로 2803,,
7982,서울특별시 송파구 올림픽로33길 17,,
7994,서울특별시 서초구 나루터로4길 39,,
7995,서울특별시 서초구 나루터로4길 39,,
8080,서울특별시 동작구 사당로23길 4,,
8278,서울특별시 서초구 나루터로4길 28,,
8281,서울특별시 서초구 나루터로4길 39,,
8283,서울특별시 서초구 잠원로4길 34-11,,
8438,서울특별시 성북구 64,,
8539,서울특별시 동작구 사당로23길 4,,
8690,서울특별시 서초구 나루터로4길 39,,
8691,서울특별시 서초구 나루터로4길 39,,
8693,서울특별시 서초구 나루터로4길 39,,
8720,서울특별시 서초구 신반포로 32,,
8721,서울특별시 서초구 신반포로 32,,
8742,서울특별시 서초구 나루터로4길 39,,
9047,서울특별시 금천구 시흥대로 291-1,,
9054,서울특별시 서초구 신반포로 32,,
9064,서울특별시 송파구 성내천로6길 1-13,,
9088,서울특별시 서초구 나루터로4길 28,,
9089,서울특별시 서초구 나루터로4길 39,,
9090,서울특별시 서초구 나루터로4길 39,,
9142,서울특별시 은평구 서오릉로 107-1,,
9248,서울특별시 동작구 사당로23길 4,,
9363,서울특별시 서초구 나루터로4길 28,,
9395,서울특별시 송파구 성내천로6길 1-13,,
