no,address,latitude,longitude
123,서울특별시 서초구 남부순환로289길 16,,
214,서울특별시 서초구 신반포로 32,,
575,서울특별시 서초구 신반포로 9,,
597,서울특별시 서초구 남부순환로289길 16,,
674,서울특별시 서초구 신반포로 32,,
912,서울특별시 송파구 성내천로6길 1-13,,
914,서울특별시 은평구 연서로19길 9,,
915,서울특별시 은평구 연서로17길 12,,
918,서울특별시 은평구 연서로17길 12,,
919,서울특별시 은평구 연서로17길 12,,
920,서울특별시 은평구 연서로17길 12,,
922,서울특별시 은평구 연서로19길 9,,
924,서울특별시 은평구 연서로19길 9,,
957,서울특별시 은평구 연서로19길 9,,
960,서울특별시 은평구 연서로19길 9,,
961,서울특별시 은평구 연서로17길 12,,
963,서울특별시 은평구 연서로17길 12,,
964,서울특별시 강남구 남부순환로 2803,,
965,서울특별시 은평구 연서로17길 12,,
1244,서울특별시 은평구 연서로17길 12,,
1247,서울특별시 은평구 연서로19길 9,,
1285,서울특별시 서초구 신반포로 32,,
1682,서울특별시 서초구 남부순환로289길 16,,
2257,서울특별시 서초구 신반포로 45,,
2574,서울특별시 성북구 37,,
2773,서울특별시 서초구 신반포로 9,,
2848,서울특별시 서초구 신반포로 9,,
3708,서울특별시 서초구 신반포로 32,,
3772,서울특별시 서초구 신반포로 32,,
4426,서울특별시 서초구 남부순환로289길 16,,
4461,서울특별시 서초구 신반포로 45,,
4547,서울특별시 강서구 화곡로21길 71-1,,
4590,서울특별시 서초구 신반포로 32,,
4638,서울특별시 서초구 남부순환로289길 16,,
4660,서울특별시 서초구 남부순환로289길 16,,
4686,서울특별시 서초구 신반포로 45,,
4803,서울특별시 양천구 신목로5길 23-6,,
5079,서울특별시 성북구 38,,
5296,서울특별시 서초구 신반포로 32,,
5477,서울특별시 서초구 효령로34길 79,,
5491,서울특별시 서초구 신반포로 32,,
5553,서울특별시 서초구 신반포로 45,,
5717,서울특별시 서초구 신반포로 45,,
5718,서울특별시 서초구 신반포로 32,,
5912,서울특별시 강서구 화곡로21길 71-1,,
6036,서울특별시 서초구 효령로34길 79,,
6250,서울특별시 서초구 신반포로 9,,
6310,서울특별시 은평구 연서로19길 9,,
6715,서울특별시 서초구 신반포로 32,,
6851,서울특별시 서초구 신반포로 45,,
