line,name,legal_dong
5호선,개화산,방화동
5호선,방화,방화동
서해선,김포공항,방화동
경원선,도봉산,도봉동
경원선,도봉,도봉동
경원선,방학,방학동
분당선,선정릉,논현동
분당선,강남구청,논현동
분당선,압구정로데오,신사동
분당선,서울숲,성수동1가
경인선,온수(성공회대입구),온수동
경인선,구일,구로동
경인선,오류동,오류동
경인선,개봉,개봉동
경부선,독산,가산동
경부선,금천구청,시흥동
경부선,가산디지털단지,가산동
경부선,구로,구로동
경춘선,신내,망우동
경의중앙선,디지털미디어시티,수색동
경의중앙선,홍대입구,동교동
경의중앙선,공덕,도화동
경의중앙선,서울역,봉래동2가
경의중앙선,수색,수색동
경의중앙선,디지털미디어시티,수색동
경의중앙선,가좌,남가좌동
경의중앙선,홍대입구,동교동
경의중앙선,서강대,노고산동
경의중앙선,공덕,도화동
경의중앙선,효창공원앞,용문동
경의중앙선,신촌,신촌동
경의중앙선,서울역,봉래동2가
중앙선,양원,망우동
중앙선,망우,상봉동
중앙선,상봉(시외버스터미널),상봉동
중앙선,중랑,중화동
경부선,신길,신길동
분당선,복정,장지동
분당선,수서,수서동
분당선,대모산입구,개포동
분당선,개포동,개포동
분당선,구룡,개포동
분당선,도곡,도곡동
분당선,한티,도곡동
분당선,선릉,역삼동
경원선,창동,창동
경원선,녹천,창동
경원선,월계,월계동
경원선,광운대,월계동
경원선,석계,석관동
경원선,신이문,이문동
경원선,외대앞,이문동
중앙선,회기,휘경동
경원선,청량리(서울시립대입구),전농동
경원선,왕십리(성동구청),행당동
경원선,응봉,응봉동
경원선,옥수,옥수동
경원선,한남,한남동
경원선,서빙고,서빙고동
경원선,이촌(국립중앙박물관),용산동5가
경부선,신도림,신도림동
경부선,영등포,영등포동
경부선,대방,신길동
경부선,노량진,노량진동
경부선,용산,한강로3가
경부선,남영,갈월동
경부선,서울역,동자동
4호선,남태령,방배동
4호선,사당,사당동
4호선,총신대입구(이수),사당동
4호선,동작(현충원),동작동
4호선,이촌(국립중앙박물관),용산동5가
4호선,신용산,한강로2가
4호선,삼각지,한강로1가
4호선,숙대입구(갈월),갈월동
4호선,서울역,동자동
4호선,회현(남대문시장),남창동
4호선,명동,충무로2가
4호선,충무로,필동2가
4호선,동대문역사문화공원,을지로7가
4호선,동대문,종로6가
4호선,혜화,동숭동
4호선,한성대입구(삼선교),삼선동1가
4호선,성신여대입구(돈암),동소문동5가
4호선,길음,길음동
4호선,미아사거리,미아동
4호선,미아(서울사이버대학),미아동
4호선,수유(강북구청),번동
4호선,쌍문,창동
4호선,창동,창동
4호선,노원,상계동
4호선,상계,상계동
4호선,당고개,상계동
3호선,오금,오금동
3호선,경찰병원,가락동
3호선,가락시장,가락동
3호선,수서,수서동
3호선,일원,일원동
3호선,대청,일원동
3호선,학여울,대치동
3호선,대치,대치동
3호선,도곡,대치동
3호선,매봉,도곡동
3호선,양재(서초구청),서초동
3호선,남부터미널(예술의전당),서초동
3호선,교대(법원.검찰청),서초동
3호선,고속터미널,반포동
3호선,잠원,잠원동
3호선,신사,논현동
3호선,압구정,신사동
3호선,옥수,옥수동
3호선,금호,금호동4가
3호선,약수,신당동
3호선,동대입구,장충동2가
3호선,충무로,필동2가
3호선,을지로3가,을지로3가
3호선,종로3가,묘동
3호선,안국,경운동
3호선,경복궁(정부서울청사),적선동
3호선,독립문,현저동
3호선,무악재,홍제동
3호선,홍제,홍제동
3호선,녹번,녹번동
3호선,불광,대조동
3호선,연신내,불광동
3호선,구파발,진관동
2호선,용두(동대문구청),용두동
2호선,신정네거리,신정동
2호선,양천구청,신정동
2호선,도림천,신도림동
2호선,신설동,신설동
2호선,신답,용답동
2호선,용답,사근동
2호선,충정로(경기대입구),충정로3가
2호선,아현,아현동
2호선,이대,대흥동
2호선,신촌,창천동
2호선,홍대입구,동교동
2호선,합정,합정동
2호선,당산,당산동6가
2호선,영등포구청,당산동3가
2호선,문래,문래동3가
2호선,신도림,신도림동
2호선,대림(구로구청),구로동
2호선,구로디지털단지,구로동
2호선,신대방,신림동
2호선,신림,신림동
2호선,봉천,봉천동
2호선,서울대입구(관악구청),봉천동
2호선,낙성대,봉천동
2호선,사당,사당동
2호선,방배,방배동
2호선,서초,서초동
2호선,교대(법원.검찰청),서초동
2호선,강남,역삼동
2호선,역삼,역삼동
2호선,선릉,역삼동
2호선,삼성(무역센터),대치동
2호선,종합운동장,잠실동
2호선,잠실새내,잠실동
2호선,잠실(송파구청),신천동
2호선,잠실나루,신천동
2호선,강변(동서울터미널),구의동
2호선,구의(광진구청),자양동
2호선,건대입구,자양동
2호선,성수,성수동2가
2호선,뚝섬,성수동1가
2호선,한양대,행당동
2호선,왕십리(성동구청),행당동
2호선,상왕십리,하왕십리동
2호선,신당,신당동
2호선,동대문역사문화공원,을지로7가
2호선,을지로4가,을지로4가
2호선,을지로3가,을지로3가
2호선,을지로입구,을지로1가
2호선,시청,서소문동
1호선,동묘앞,숭인동
1호선,청량리(서울시립대입구),전농동
1호선,제기동,용두동
1호선,신설동,신설동
1호선,동대문,창신동
1호선,종로5가,종로5가
1호선,종로3가,종로3가
1호선,종각,종로1가
1호선,시청,정동
1호선,서울역,봉래동2가
