NO,기존주소,도로명주소
1,서울특별시 도봉구 창동 305,서울특별시 도봉구 해등로 113
2,서울특별시 은평구 불광동 484-63,서울특별시 은평구 통일로82길 6-3
3,서울특별시 동대문구 용두동 255-49,서울특별시 동대문구 청계천로 461
4,서울특별시 중랑구 묵동 20,서울특별시 중랑구 신내로21길 16
5,서울특별시 중랑구 중화동 286-22,서울특별시 중랑구 동일로136길 10
6,서울특별시 중구 충무로5가 90,서울특별시 중구 서애로1길 11
7,서울특별시 중구 충무로5가 90,서울특별시 중구 서애로1길 11
8,서울특별시 성동구 하왕십리동 966-18,서울특별시 성동구 무학봉28길 5
9,서울특별시 노원구 월계동 12,서울특별시 노원구 마들로 127
10,서울특별시 동대문구 장안동 336,서울특별시 동대문구 장안벚꽃로 107
11,서울특별시 강서구 화곡동 24-147,서울특별시 강서구 초록마을로3길 28
12,서울특별시 동작구 사당동 105,서울특별시 동작구 동작대로29길 115
13,서울특별시 영등포구 양평동5가 09-01,서울특별시 영등포구 양평로23길 18
14,서울특별시 영등포구 양평동5가 09-01,서울특별시 영등포구 양평로23길 18
15,서울특별시 마포구 염리동 520,서울특별시 마포구 백범로25길 63
16,서울특별시 마포구 공덕동 476,서울특별시 마포구 백범로 152
17,서울특별시 강서구 방화동 619-7,서울특별시 강서구 개화동로27가길 33
18,서울특별시 은평구 대조동 186-21,서울특별시 은평구 연서로28길 17-1
19,서울특별시 강서구 화곡동 1168,서울특별시 강서구 화곡로21길 71-1
20,서울특별시 동작구 흑석동 328,서울특별시 동작구 서달로1길 17
21,서울특별시 영등포구 영등포동2가 28-117,서울특별시 영등포구 국회대로54길 65
22,서울특별시 마포구 망원동 382-3,서울특별시 마포구 월드컵로17길 67
23,서울특별시 영등포구 대림동 1101-1,서울특별시 영등포구 도림천로19길 12
24,서울특별시 강서구 마곡동 741,서울특별시 강서구 마곡서1로 81
25,서울특별시 강남구 개포동 1280,서울특별시 강남구 선릉로 8
26,서울특별시 관악구 신림동 1433-55,서울특별시 관악구 신림로65길 27
27,서울특별시 서초구 서초동 1685,서울특별시 서초구 서초중앙로 200
28,서울특별시 서초구 서초동 1685,서울특별시 서초구 서초중앙로 200
29,서울특별시 송파구 장지동 897,서울특별시 송파구 위례광장로 120
30,서울특별시 강동구 성내동 196-8,서울특별시 강동구 천호대로168길 25
31,서울특별시 송파구 풍납동 260,서울특별시 송파구 토성로 37
32,서울특별시 강남구 도곡동 467-19,서울특별시 강남구 언주로30길 10
33,서울특별시 강동구 고덕동 693,서울특별시 강동구 고덕로 333
34,서울특별시 강남구 삼성동 189,서울특별시 강남구 삼성로 651
35,서울특별시 강동구 강일동 665,서울특별시 강동구 아리수로93가길 25
36,서울특별시 강남구 역삼동 720-25,서울특별시 강남구 언주로 427
37,서울특별시 강남구 역삼동 727-11,서울특별시 강남구 역삼로25길 17
38,서울특별시 서초구 서초동 1671-5,서울특별시 서초구 서초중앙로22길 25
39,서울특별시 서초구 반포동 02-12,서울특별시 서초구 신반포로15길 19
40,서울특별시 강남구 역삼동 713-7,서울특별시 강남구 역삼로 309
41,서울특별시 서초구 반포동 20-43,서울특별시 서초구 신반포로 270
42,서울특별시 강동구 길동 415-16,서울특별시 강동구 진황도로 87
43,서울특별시 강남구 삼성동 108-1,서울특별시 강남구 영동대로112길 22
44,서울특별시 송파구 잠실동 22,서울특별시 송파구 올림픽로 135
45,서울특별시 강남구 논현동 211-21,서울특별시 강남구 언주로 641
46,서울특별시 은평구 불광동 484-73,서울특별시 은평구 통일로 868
47,서울특별시 용산구 문배동 24-4,서울특별시 용산구 백범로90길 12
48,서울특별시 성동구 하왕십리동 1070,서울특별시 성동구 왕십리로 410
49,서울특별시 중구 신당동 432-2000,서울특별시 중구 동호로11마길 39
50,서울특별시 동대문구 회기동 346-18,서울특별시 동대문구 이문로 37
51,서울특별시 중랑구 면목동 105-4,서울특별시 중랑구 겸재로 198
52,서울특별시 용산구 한강로1가 216-11,서울특별시 용산구 한강대로62길 45-1
53,서울특별시 동대문구 전농동 695,서울특별시 동대문구 답십리로23길 30
54,서울특별시 용산구 한강로1가 216-11,서울특별시 용산구 한강대로62길 45-25
