NO,contract_date,apt_name,exclusive_area_m2,floor,construction_year,latitude,longitude,price_man_won
2023_00057,2023-12-30,한신,84.87,8,1998,37.5944725333435,127.012706037821,77300
2023_00058,2023-12-30,강변건영아파트,84.952,16,2002,37.5404656250355,127.044276890259,197000
2023_00059,2023-12-30,이수브라운스톤돈암,84.97,4,2004,37.5973859824567,127.019322962211,88000
2023_00060,2023-12-30,답십리대우,114.94,11,2002,37.5732224094682,127.053545301946,97000
2023_00061,2023-12-30,동아에코빌,59.95,18,2003,37.6087724936926,127.045611958623,59000
2023_00062,2023-12-30,동일씨티빌,77.85,5,2004,37.6592358007188,127.035947597886,32500
2023_00063,2023-12-30,행당한진타운,114.62,18,2000,37.5548088817349,127.027399715208,142000
2023_00064,2023-12-30,DUO302,15.97,10,2014,37.5665748058672,127.023261376536,16300
2023_00065,2023-12-30,벽산,71.33,8,1996,37.5691096001774,127.032672663162,89000
2023_00066,2023-12-30,북한산코오롱하늘채,84.98,13,2014,37.6478841889324,127.024070387404,68000
2023_00067,2023-12-30,삼성,84.93,15,1996,37.5664842722046,127.040276642646,100000
2023_00068,2023-12-30,이촌동삼성리버스위트,137.37,8,2002,37.516879547214,126.975899020674,275000
2023_00069,2023-12-30,태솔아파트4차,57.84,13,2019,37.571742008574,127.073001165931,44000
2023_00070,2023-12-30,장안현대홈타운(336),58.42,4,2003,37.5710568281709,127.075113657819,73000
2023_00071,2023-12-30,왕십리풍림아이원,59.936,17,2004,37.5591314196289,127.024079949145,92000
2023_00072,2023-12-30,고덕그라시움,59.785,17,2019,37.5561770852501,127.159176546352,129000
2023_00073,2023-12-30,고덕아르테온,84.97,23,2020,37.5566829127291,127.169527259453,143000
2023_00074,2023-12-30,고덕아르테온,59.98,21,2020,37.5566829127291,127.169527259453,117000
2023_00075,2023-12-30,동아하이빌아파트,84.97,4,2000,37.5446471437832,127.133881482323,75950
2023_00076,2023-12-30,올림픽훼밀리타운,136.325,15,1988,37.488125746629,127.111059136873,209000
2023_00077,2023-12-30,문정래미안,84.96,7,2004,37.4892043157404,127.130231968818,136500
2023_00078,2023-12-30,고덕그라시움,59.785,17,2019,37.5561770852501,127.159176546352,129000
2023_00079,2023-12-30,가락(1차)쌍용아파트,59.92,18,1997,37.4946982310161,127.129223095507,106000
2023_00080,2023-12-30,롯데캐슬퍼스트,59.99,18,2008,37.5551667468122,127.143838799591,110000
2023_00081,2023-12-30,고덕그라시움,84.24,7,2019,37.5561770852501,127.159176546352,160000
2023_00082,2023-12-30,고덕그라시움,84.244,8,2019,37.5561770852501,127.159176546352,157000
