station_name,line,city,gu,dong,gu_dong
군자(능동),7호선,서울특별시,광진구,능동,광진구_능동
어린이대공원(세종대),7호선,서울특별시,광진구,능동,광진구_능동
건대입구,2호선,서울특별시,광진구,자양동,광진구_자양동
구의(광진구청),2호선,서울특별시,광진구,자양동,광진구_자양동
뚝섬유원지,7호선,서울특별시,광진구,자양동,광진구_자양동
중곡,7호선,서울특별시,광진구,중곡동,광진구_중곡동
건대입구,7호선,서울특별시,광진구,화양동,광진구_화양동
개봉,경인선,서울특별시,구로구,개봉동,구로구_개봉동
구로디지털단지,2호선,서울특별시,구로구,구로동,구로구_구로동
대림(구로구청),2호선,서울특별시,구로구,구로동,구로구_구로동
남구로,7호선,서울특별시,구로구,구로동,구로구_구로동
구로,경부선,서울특별시,구로구,구로동,구로구_구로동
구일,경인선,서울특별시,구로구,구로동,구로구_구로동
도림천,2호선,서울특별시,구로구,신도림동,구로구_신도림동
신도림,2호선,서울특별시,구로구,신도림동,구로구_신도림동
신도림,경부선,서울특별시,구로구,신도림동,구로구_신도림동
오류동,경인선,서울특별시,구로구,오류동,구로구_오류동
온수(성공회대입구),7호선,서울특별시,구로구,온수동,구로구_온수동
온수(성공회대입구),경인선,서울특별시,구로구,온수동,구로구_온수동
천왕,7호선,서울특별시,구로구,천왕동,구로구_천왕동
가산디지털단지,7호선,서울특별시,금천구,가산동,금천구_가산동
가산디지털단지,경부선,서울특별시,금천구,가산동,금천구_가산동
독산,경부선,서울특별시,금천구,가산동,금천구_가산동
금천구청,경부선,서울특별시,금천구,시흥동,금천구_시흥동
태릉입구,6호선,서울특별시,노원구,공릉동,노원구_공릉동
화랑대(서울여대입구),6호선,서울특별시,노원구,공릉동,노원구_공릉동
공릉(서울과학기술대),7호선,서울특별시,노원구,공릉동,노원구_공릉동
태릉입구,7호선,서울특별시,노원구,공릉동,노원구_공릉동
노원,4호선,서울특별시,노원구,상계동,노원구_상계동
당고개,4호선,서울특별시,노원구,상계동,노원구_상계동
상계,4호선,서울특별시,노원구,상계동,노원구_상계동
노원,7호선,서울특별시,노원구,상계동,노원구_상계동
마들,7호선,서울특별시,노원구,상계동,노원구_상계동
수락산,7호선,서울특별시,노원구,상계동,노원구_상계동
광운대,경원선,서울특별시,노원구,월계동,노원구_월계동
월계,경원선,서울특별시,노원구,월계동,노원구_월계동
중계,7호선,서울특별시,노원구,중계동,노원구_중계동
하계,7호선,서울특별시,노원구,하계동,노원구_하계동
도봉산,7호선,서울특별시,도봉구,도봉동,도봉구_도봉동
도봉,경원선,서울특별시,도봉구,도봉동,도봉구_도봉동
도봉산,경원선,서울특별시,도봉구,도봉동,도봉구_도봉동
방학,경원선,서울특별시,도봉구,방학동,도봉구_방학동
쌍문,4호선,서울특별시,도봉구,창동,도봉구_창동
창동,4호선,서울특별시,도봉구,창동,도봉구_창동
녹천,경원선,서울특별시,도봉구,창동,도봉구_창동
창동,경원선,서울특별시,도봉구,창동,도봉구_창동
신설동,1호선,서울특별시,동대문구,신설동,동대문구_신설동
신설동,2호선,서울특별시,동대문구,신설동,동대문구_신설동
신설동,우이신설선,서울특별시,동대문구,신설동,동대문구_신설동
제기동,1호선,서울특별시,동대문구,용두동,동대문구_용두동
용두(동대문구청),2호선,서울특별시,동대문구,용두동,동대문구_용두동
신이문,경원선,서울특별시,동대문구,이문동,동대문구_이문동
외대앞,경원선,서울특별시,동대문구,이문동,동대문구_이문동
청량리(서울시립대입구),1호선,서울특별시,동대문구,전농동,동대문구_전농동
청량리(서울시립대입구),경원선,서울특별시,동대문구,전농동,동대문구_전농동
고려대(종암),6호선,서울특별시,동대문구,제기동,동대문구_제기동
회기,중앙선,서울특별시,동대문구,휘경동,동대문구_휘경동
노량진,9호선,서울특별시,동작구,노량진동,동작구_노량진동
노량진,경부선,서울특별시,동작구,노량진동,동작구_노량진동
보라매,7호선,서울특별시,동작구,대방동,동작구_대방동
신대방삼거리,7호선,서울특별시,동작구,대방동,동작구_대방동
동작(현충원),4호선,서울특별시,동작구,동작동,동작구_동작동
동작(현충원),9호선,서울특별시,동작구,동작동,동작구_동작동
노들,9호선,서울특별시,동작구,본동,동작구_본동
사당,2호선,서울특별시,동작구,사당동,동작구_사당동
