no,address,latitude,longitude
92,서울특별시 은평구 연서로19길 9,,
180,서울특별시 송파구 성내천로6길 1-13,,
752,서울특별시 은평구 연서로17길 12,,
950,서울특별시 종로구 평창문화로 171,,
1093,서울특별시 은평구 서오릉로2길 12-1,,
1291,서울특별시 성북구 64,,
1761,서울특별시 강남구 남부순환로 2803,,
1830,서울특별시 은평구 수색로18길 45-15,,
1945,서울특별시 은평구 서오릉로2길 12-1,,
1975,서울특별시 노원구 노원로1길 103,,
2183,서울특별시 은평구 서오릉로2길 12-1,,
2627,서울특별시 구로구 남부순환로97길 30,,
2628,서울특별시 구로구 남부순환로97길 30,,
3032,서울특별시 마포구 마포대로19길 8,,
3433,서울특별시 금천구 탑골로3길 50,,
3529,서울특별시 성북구 64,,
4123,서울특별시 은평구 연서로19길 9,,
4362,서울특별시 성북구 37,,
4582,서울특별시 서초구 잠원로 195,,
4631,서울특별시 동작구 사당로23길 4,,
4712,서울특별시 서초구 신반포로 32,,
5092,서울특별시 송파구 성내천로6길 1-13,,
5333,서울특별시 서초구 신반포로 45,,
5334,서울특별시 서초구 신반포로 137,,
5413,서울특별시 서초구 신반포로 45,,
5414,서울특별시 서초구 신반포로 45,,
5415,서울특별시 서초구 신반포로 32,,
5500,서울특별시 은평구 연서로19길 9,,
5937,서울특별시 송파구 올림픽로 399,,
5949,서울특별시 동작구 등용로14길 40,,
6191,서울특별시 서초구 신반포로 32,,
6819,서울특별시 은평구 서오릉로2길 12-1,,
6820,서울특별시 은평구 서오릉로2길 12-1,,
6992,서울특별시 서초구 신반포로 32,,
7020,서울특별시 송파구 올림픽로 399,,
7159,서울특별시 송파구 성내천로6길 1-13,,
7292,서울특별시 노원구 노원로1길 103,,
7427,서울특별시 금천구 탑골로3길 50,,
7673,서울특별시 성북구 64,,
7954,서울특별시 강서구 곰달래로18길 33-1,,
7991,서울특별시 구로구 남부순환로97길 30,,
8248,서울특별시 강동구 진황도로 12,,
8282,서울특별시 성북구 64,,
8814,서울특별시 강서구 곰달래로18길 33-1,,
8889,서울특별시 성북구 37,,
8899,서울특별시 성북구 64,,
9038,서울특별시 서초구 신반포로 32,,
9104,서울특별시 서초구 나루터로4길 49,,
9135,서울특별시 강동구 고덕로25길 13-11,,
9231,서울특별시 마포구 마포대로19길 8,,
9661,서울특별시 금천구 탑골로3길 50,,
9904,서울특별시 강남구 선릉로 7,,
10363,서울특별시 송파구 성내천로6길 1-13,,
10437,서울특별시 송파구 성내천로6길 1-13,,
10765,서울특별시 노원구 노원로1길 103,,
11126,서울특별시 강남구 남부순환로 2803,,
11163,서울특별시 서초구 신반포로 137,,
11201,서울특별시 송파구 성내천로6길 1-13,,
11202,서울특별시 송파구 성내천로6길 1-13,,
12647,서울특별시 송파구 성내천로6길 1-13,,
12648,서울특별시 송파구 성내천로6길 1-13,,
12880,서울특별시 동작구 사당로23길 4,,
12940,서울특별시 서초구 신반포로 9,,
13510,서울특별시 서초구 방배중앙로 51,,
13566,서울특별시 송파구 성내천로6길 1-13,,
13805,서울특별시 송파구 올림픽로33길 1,,
14071,서울특별시 송파구 성내천로6길 1-13,,
14095,서울특별시 성북구 64,,
14640,서울특별시 강동구 진황도로 18,,
15363,서울특별시 송파구 올림픽로33길 17,,
15634,서울특별시 구로구 구로중앙로18길 11-1,,
15752,서울특별시 서초구 신반포로 9,,
15770,서울특별시 강남구 남부순환로 2803,,
15923,서울특별시 마포구 마포대로19길 8,,
15997,서울특별시 강동구 진황도로 12,,
16246,서울특별시 은평구 수색로20길 26-13,,
16861,서울특별시 마포구 마포대로19길 8,,
17144,서울특별시 종로구 평창문화로 171,,
17729,서울특별시 성북구 64,,
17730,서울특별시 성북구 64,,
18463,서울특별시 강동구 진황도로 12,,
