통계표,계정항목,단위,변환,2013/01,2013/02,2013/03,2013/04,2013/05,2013/06,2013/07,2013/08,2013/09,2013/10,2013/11,2013/12,2014/01,2014/02,2014/03,2014/04,2014/05,2014/06,2014/07,2014/08,2014/09,2014/10,2014/11,2014/12,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12
"4.4.1.1. 주택매매가격지수(KB)","  아파트","2022.01=100","원자료","66.286","66.233","66.198","66.189","66.174","66.135","66.118","66.073","66.100","66.255","66.407","66.565","66.648","66.774","67.009","67.178","67.221","67.259","67.321","67.416","67.630","67.873","68.033","68.186","68.289","68.470","68.781","69.170","69.482","69.843","70.154","70.473","70.883","71.138","71.490","71.633","71.691","71.749","71.759","71.781","71.831","71.896","71.996","72.098","72.208","72.417","72.646","72.706","72.720","72.723","72.736","72.761","72.796","72.959","73.149","73.358","73.399","73.472","73.568","73.657","73.810","73.961","74.163","74.263","74.302","74.344","74.359","74.531","75.340","75.803","75.882","75.881","75.859","75.772","75.626","75.444","75.339","75.190","75.123","75.111","75.132","75.216","75.326","75.651","75.937","76.283","76.841","77.033","77.117","77.489","78.350","79.080","79.878","80.338","81.553","82.949","84.208","85.688","87.171","88.417","89.526","91.218","92.604","94.441","96.299","97.563","99.065","99.685","100.000","100.163","100.266","100.460","100.712","100.752","100.678","100.450","100.209","99.469","98.057","96.570","94.724","93.626","92.482","91.424","90.648","90.329","90.089","90.012","90.088","90.172","90.177","90.080"
"4.4.1.1. 주택매매가격지수(KB)","    아파트(서울)","2022.01=100","원자료","56.231","56.084","55.939","55.868","55.838","55.722","55.537","55.378","55.349","55.401","55.407","55.406","55.424","55.495","55.624","55.669","55.651","55.596","55.593","55.610","55.782","55.945","56.001","56.010","56.058","56.165","56.432","56.742","56.963","57.244","57.512","57.829","58.252","58.540","58.938","59.125","59.192","59.279","59.321","59.391","59.557","59.795","60.120","60.457","60.720","61.156","61.559","61.620","61.638","61.661","61.723","61.808","61.944","62.472","63.009","63.671","63.766","64.050","64.447","64.873","65.602","66.249","67.080","67.624","67.893","68.158","68.518","69.318","71.976","73.300","73.589","73.669","73.659","73.591","73.467","73.361","73.316","73.261","73.531","73.828","74.158","74.587","75.007","75.810","76.315","76.708","77.269","77.388","77.388","77.788","79.452","81.083","82.701","83.317","84.600","85.713","87.087","88.480","89.658","90.512","91.424","92.941","94.133","95.633","97.252","98.269","99.310","99.768","100.000","100.092","100.147","100.256","100.469","100.603","100.638","100.492","100.297","99.627","98.216","96.810","94.784","93.650","92.553","91.656","90.854","90.595","90.390","90.339","90.578","90.787","90.821","90.725"
