"자치구","경제활동별","구분","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"은평구","금융 및 보험업","고정자본소모(④)","항목","","13237.66907","12704.62602","11183.59343","11818.69889","12614.22725","13074","11804","11857.677427","13052",
"은평구","금융 및 보험업","순기타 생산세(⑤)","항목","","2020.695591","2170.914762","2224.377078","2446.612218","2597.858851","2188","3179","1947.949814","2106",
"은평구","금융 및 보험업","지역내 요소소득(⑥=③-④-⑤)","항목","","129253.324","129898.2747","108497.2309","110590.0068","126311.2451","133921","114457","112466.025074","127954",
"은평구","금융 및 보험업","산출액(2015년 기준년 연쇄가격)","항목","","302840.8622","292661.9765","245844.1957","260229.7969","285414.1015","293348","266106","263267.440657","279506",
"은평구","금융 및 보험업","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","142128.8253","142595.5779","121905.2015","124051.0195","136244.5636","142237","126729","126281.126848","138200",
"은평구","부동산업","산출액(①)","항목","","984638.1696","1054239.952","1106856.014","1211932.777","1339289.419","1350026","1397465","1524015.728218","1544496",
"은평구","부동산업","중간소비(②)","항목","","190533.6687","216651.6804","240798.3431","277478.5658","341092.5387","349340","364020","404915.982669","430324",
"은평구","부동산업","지역내 총부가가치(③=①-②)","항목","","794104.5009","837588.2719","866057.6713","934454.2114","998196.8799","1000686","1033446","1119099.745548","1114172",
"은평구","부동산업","고정자본소모(④)","항목","","229180.0338","239790.7185","259173.6968","280037.7385","310289.7512","322247","344892","378006.142289","403853",
"은평구","부동산업","순기타 생산세(⑤)","항목","","64588.18997","66727.2368","69712.88412","74475.59008","81575.85555","85791","109027","146360.927862","191849",
"은평구","부동산업","지역내 요소소득(⑥=③-④-⑤)","항목","","500336.2771","531070.3166","537171.0903","579940.8828","606331.2732","592648","579526","594732.675398","518470",
"은평구","부동산업","산출액(2015년 기준년 연쇄가격)","항목","","1030049.879","1081325.675","1106856.014","1195789.342","1298054.304","1293597","1330191","1441400.496563","1449489",
"은평구","부동산업","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","842868.0914","866964.6705","866057.6713","918100.5275","967533.3402","963987","987481","1059926.449812","1060444",
"은평구","사업서비스업","산출액(①)","항목","","322325.5893","305871.4096","316847.669","301560.7842","329280.7796","362101","378749","511871.953156","508598",
"은평구","사업서비스업","중간소비(②)","항목","","122789.5009","120703.1826","128890.367","123235.7603","139791.4508","150232","156143","207182.088671","214803",
"은평구","사업서비스업","지역내 총부가가치(③=①-②)","항목","","199536.0884","185168.227","187957.3019","178325.0239","189489.3288","211869","222606","304689.864485","293795",
"은평구","사업서비스업","고정자본소모(④)","항목","","18556.15802","16966.35605","17608.227","15247.46373","17949.35381","18500","19943","26209.566396","27346",
"은평구","사업서비스업","순기타 생산세(⑤)","항목","","611.2387351","540.5644881","848.004779","584.0626539","662.8192271","402","419","469.868556","725",
"은평구","사업서비스업","지역내 요소소득(⑥=③-④-⑤)","항목","","180368.6917","167661.3064","169501.0701","162493.4975","170877.1558","192967","202244","278010.429533","265725",
"은평구","사업서비스업","산출액(2015년 기준년 연쇄가격)","항목","","331922.9243","311835.8468","316847.669","297363.3653","317747.6569","341968","350673","465805.942666","449731",
"은평구","사업서비스업","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","210692.3125","192340.0058","187957.3019","176151.4384","181484.6722","196411","200999","267376.037945","250468",
"은평구","공공행정,국방 및 사회보장행정","산출액(①)","항목","","285593.5355","224432.1911","186565.4486","198433.1342","221535.939","224689","237128","250989.378917","266925",
"은평구","공공행정,국방 및 사회보장행정","중간소비(②)","항목","","78161.19417","51750.38143","37505.01527","42432.51607","49306.37462","50762","56659","54777.983658","59335",
"은평구","공공행정,국방 및 사회보장행정","지역내 총부가가치(③=①-②)","항목","","207432.3413","172681.8097","149060.4333","156000.6181","172229.5643","173927","180469","196211.395259","207591",
"은평구","공공행정,국방 및 사회보장행정","고정자본소모(④)","항목","","64221.83324","53167.45785","45458.96196","47087.90869","51829.03553","53257","55624","57358.567081","61113",
"은평구","공공행정,국방 및 사회보장행정","순기타 생산세(⑤)","항목","","3.584781818","3.280387512","3.405773401","3.554735277","3.666398771","4","7","4.269117","4",
"은평구","공공행정,국방 및 사회보장행정","지역내 요소소득(⑥=③-④-⑤)","항목","","143206.9233","119511.0715","103598.0656","108909.1547","120396.8624","120666","124838","138848.559061","146474",
"은평구","공공행정,국방 및 사회보장행정","산출액(2015년 기준년 연쇄가격)","항목","","302007.4814","230588.0891","186565.4486","194233.7618","211140.8968","207016","214760","225009.475183","232269",
"은평구","공공행정,국방 및 사회보장행정","지역내총부가가치(2015년 기준년 연쇄가격)","항목","","222417.5192","178988.6804","149060.4333","151585.0657","162287.1285","157492","159959","171233.408512","176122",
"은평구","교육서비스업","산출액(①)","항목","","623937.8375","634842.0377","635776.9268","633375.8611","653200.3594","652117","675232","677890.637564","688114",
