공원명,X좌표(GRS80TM),Y좌표(GRS80TM),X좌표(WGS84),Y좌표(WGS84)
서오능도시자연공원,192105.2416,459771.1303,126.9134338,37.6374823
청계산도시자연공원,204784.3515,438131.8878,127.0424726,37.4224347
개화근린공원,182939.2547,453560.1285,126.8068278,37.5813917
아차산공원,208869.3493,450460.3592,127.1010031,37.5517142
인능산도시자연공원,205898.0861,438764.8767,127.0666632,37.4482109
구룡산도시자연공원,204754,440798,127.061567,37.4689473
우면산도시자연공원,200745.6,441329.6,127.0091324,37.470484
향림근린공원,193339.2,458878.4,126.9240693,37.6293824
신사근린공원,192065.2,454756.8,126.9102948,37.5920771
광평근린공원,,,,
청담근린공원,,,,
허브천문공원,,,,
연신내물빛공원,,,,
숭인근린공원,,,,
서일대뒷산공원,,,,
용마도시자연공원(사가정공원),,,,
문화비축기지,,,,
경춘선숲길,,,,
율현공원,,,,
서울로7017,,,,
